model_slug,N,T,layer,n_effective,n_censored,accuracy,q_mean,q_mean_ci_95,q_var,q_var_ci_95,q_abs_mean_exploratory,q_tail_mass,q_bimodality_bc,q_bimodality_dip,q_bimodality_dip_pval,ordered_rate,sg_label_rate,pm_rate,stagnation_after_move_rate,phase,q_count,hbar_norm_mean,hbar_norm_std
deepseek-r1-distill-qwen-7b,5,1.1,layer_mid,30,0,0.0,0.07479962478490698,"[0.06387677576571335, 0.08725686227232023]",0.013916518407771156,"[0.010700651185132143, 0.017646645599271843]",0.09505985185143909,0.013793103448275862,0.45479602003294667,0.009392400840808337,1.0,0.0,0.1,0.5,0.0,undetermined,435,106.2047972152761,47.97320667777068
deepseek-r1-distill-qwen-7b,5,1.2,layer_mid,30,0,0.0,0.04235485731239318,"[0.031912324971690054, 0.05221603449307462]",0.012905039964774661,"[0.008245611388326137, 0.018160597983461445]",0.06733139650621545,0.016091954022988506,0.6344531948299421,0.011948805048701099,0.984,0.0,0.03333333333333333,0.5,0.0,spin_glass,435,107.25845410481892,42.33463191096415
deepseek-r1-distill-qwen-7b,5,1.3,layer_mid,30,0,0.0,0.025370352759256917,"[0.01816870227045113, 0.03258420965285285]",0.005290481421883191,"[0.004604278848516812, 0.0060114067316295915]",0.060096686032334076,0.0,0.3921812463501047,0.013151003105291164,0.93,0.0,0.0,0.8666666666666667,0.0,paramagnetic,435,129.4604972740898,18.269551319005284
deepseek-r1-distill-qwen-7b,5,1.4,layer_mid,30,0,0.0,0.01742380240695672,"[0.01029780720245911, 0.02433317905812572]",0.005370590226205668,"[0.004543836100566586, 0.006391080120498675]",0.05629526347187034,0.0,0.2981814510146064,0.010987151078040562,0.994,0.0,0.0,0.8333333333333334,0.0,paramagnetic,435,130.69062150072392,8.883171110046717
deepseek-r1-distill-qwen-7b,5,1.5,layer_mid,30,0,0.0,0.025832609775074452,"[0.01907375549745843, 0.03351046599948421]",0.006698310956433752,"[0.005614737534964942, 0.008076559483028626]",0.06414858127187535,0.0,0.3352335227111946,0.011264865849289546,0.996,0.0,0.0,0.9666666666666667,0.0,paramagnetic,435,127.80267897209362,11.272476314916617
deepseek-r1-distill-qwen-7b,5,1.8,layer_mid,30,0,0.0,0.024402527873179397,"[0.015381656603450925, 0.03229888648244856]",0.009026172313113267,"[0.007470581085189252, 0.010611941194277762]",0.07033386230923153,0.0,0.4764802338298166,0.014073774481295195,0.85,0.0,0.0,0.9333333333333333,0.0,paramagnetic,435,129.8169302367098,10.855429697936271
deepseek-r1-distill-qwen-7b,5,2.0,layer_mid,30,0,0.0,0.02907458032908735,"[0.02165339629967051, 0.037060080307703656]",0.007270808762799509,"[0.006216082574191875, 0.008488817885021989]",0.06819429818741625,0.0,0.3645695928637081,0.011449178713608569,0.988,0.0,0.0,0.9,0.0,paramagnetic,435,129.78052495657982,9.787557595105293
deepseek-r1-distill-qwen-7b,5,2.5,layer_mid,30,0,0.0,0.04315509194746637,"[0.035329403634104715, 0.050551597220327295]",0.007188190332005789,"[0.006043576030611123, 0.008489751004014674]",0.07209366848047538,0.0,0.3385982563858576,0.010521417623471701,1.0,0.0,0.0,1.0,0.0,paramagnetic,435,131.44360901970427,11.43056484658727
deepseek-r1-distill-qwen-7b,5,3.0,layer_mid,30,0,0.0,0.042826423230240634,"[0.035322194068316035, 0.04935553368682738]",0.006146084116741445,"[0.005332093432190545, 0.006931346778102202]",0.06880578322024825,0.0,0.3863029917472745,0.015578484677624608,0.7,0.0,0.0,1.0,0.0,paramagnetic,435,132.96640144512742,9.714045882805031
deepseek-r1-distill-qwen-7b,6,0.1,layer_mid,25,0,0.0,0.03951396982170626,"[0.017008658146866768, 0.06161345220810466]",0.04261697055544899,"[0.033058774328962565, 0.05279418034844346]",0.1343431264849474,0.03,0.38941177775388436,0.012343559836236188,1.0,0.0,0.56,0.0,0.0,spin_glass,300,62.03771932390393,51.78286014504901
